TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
1,CUST5500,ACC51009,Savings,Withdrawal,Savings Account,Firm B,West,Manager 4,03-10-2023,31344.13086,115611.43,0.50,721.00,76.00
2,CUST1223,ACC30146,Savings,Payment,Personal Loan,Firm B,West,Manager 1,02-10-2023,42545.84843,95213.01,0.37,786.00,14.00
3,CUST9169,ACC15925,Current,Withdrawal,Credit Card,Firm B,South,Manager 2,19-03-2024,33702.72532,56596.55,0.80,483.00,222.00
4,CUST8028,ACC94242,Current,Deposit,Savings Account,Firm D,South,Manager 1,26-03-2023,58110.03283,56169.76,0.60,765.00,79.00
5,CUST7395,ACC30852,Current,Transfer,Personal Loan,Firm D,East,Manager 4,12-09-2023,47335.25073,-13018.40,0.28,320.00,8.00
6,CUST4684,ACC66086,Savings,Payment,Personal Loan,Firm E,South,Manager 3,30-03-2024,98544.62891,121738.34,0.43,322.00,150.00
7,CUST2412,ACC80131,Loan,Withdrawal,Personal Loan,Firm C,West,Manager 3,08-06-2023,33759.69057,126486.41,0.23,611.00,89.00
8,CUST6210,ACC52131,Credit,Transfer,Home Loan,Firm D,East,Manager 1,23-03-2024,65632.21696,111070.36,0.25,617.00,36.00
9,CUST1415,ACC49422,Credit,Deposit,Home Loan,Firm B,West,Manager 4,06-08-2024,42782.35491,26288.26,0.48,377.00,11.00
10,CUST5428,ACC72197,Current,Transfer,Personal Loan,Firm C,East,Manager 4,02-06-2024,90783.79902,107039.17,0.50,782.00,13.00
11,CUST9169,ACC50817,Credit,Withdrawal,Savings Account,Firm D,North,Manager 1,12-10-2023,11626.33967,60065.23,0.95,354.00,98.00
12,CUST5609,ACC99549,Savings,Withdrawal,Personal Loan,Firm C,West,Manager 3,21-11-2023,79849.03381,145083.85,0.43,593.00,164.00
13,CUST6319,ACC22036,Credit,Transfer,Mutual Fund,Firm C,West,Manager 1,21-04-2024,44417.98551,43740.33,0.46,512.00,72.00
14,CUST1555,ACC42710,Current,Deposit,Credit Card,Firm C,West,Manager 4,30-04-2023,116115.919,100093.17,0.66,347.00,145.00
15,CUST2018,ACC21878,Credit,Payment,Credit Card,Firm D,Central,Manager 1,15-05-2024,32321.94828,71803.42,0.50,501.00,120.00
16,CUST1749,ACC15359,Loan,Deposit,Personal Loan,Firm B,West,Manager 1,20-10-2023,3960.920481,90623.62,0.24,630.00,235.00
17,CUST3153,ACC35419,Savings,Withdrawal,Home Loan,Firm D,North,Manager 2,06-10-2023,53516.17156,134781.58,0.27,435.00,72.00
18,CUST5664,ACC70460,Loan,Payment,Personal Loan,Firm B,North,Manager 2,17-07-2023,-8264.812373,114038.74,0.70,502.00,232.00
